mID,pwd,mName,isDelete
m1,123,mn,0
m10,f9f61bfa3531d1043081e8da54465b2d,manuf10,0
m11,f74990fffd371633b774b09fb5588f36,manuf11,0
m12,9cde2769039bfb497a57f505870ae45e,manuf12,0
m13,21ce8783b1f604c5326b6d68822ba327,manuf13,0
m14,bede9ce363a612ace084ce90b98d3c6c,manuf14,0
m15,24d983a9db53f62ce236dfdf08ed2216,manuf15,0
m16,7181c34e8bce9d17c5a5e73c7e586b0a,manuf16,0
m17,d1c6eecb4745a96ee11970d4b3d0b4ef,manuf17,0
m18,af07c9af616c31d6db053868220a0140,manuf18,0
m19,437a15d26e48ae1d8c22cd19cb11e5e6,manuf19,0
m2,fa254754e3da1a454b1dfb382b68ec12,manuf2,0
m20,017d078f12e0509bbbc98a8d8fbbd640,manuf20,0
m3,369026e3b812c6ef1fbbea6c9f95ba97,manuf3,0
m4,437c830c06dc1ce011a107938e278177,manuf4,0
m5,2eb911494b423a4987c200046a26195d,manuf5,0
m6,562ac1d788de2a295ed20a75656bc3b7,manuf6,0
m7,c8c23d70381bc434ff32ced0b74f3a85,manuf7,0
m8,5c27eeba2a91121e4f2d452c7d7f74d6,manuf8,0
m9,24e98cc67d0a84f8c8d2b3aa6a8c8c66,manuf9,0
