uID,uName,pwd,email,phone,address,gender,family_fID,isDelete
u1,un,123,1@qq.c,110,a,f,f1,0
u10,符梨伶,0dae3f2d1bd19a4d6f0b950298a76b70,1182244345@qq.com,12454291680,NULL,男,f3,0
u100,?赵丙喜,ca03fa886993846074fcac07ac87dc71,87663779@qq.com,19008896922,NULL,男,f2,0
u11,傅?俊,cdb035ae3b36524d248125a1eff80dc4,1166726280@qq.com,17142476424,NULL,女,f4,0
u12,孙怡毓,c5a2306dc52797d63f0050106c52266b,146706733@qq.com,14558554352,NULL,男,f3,0
u13,潘澜巧,54574c4a53c6f643c6105474fb7151af,1621405444@qq.com,15543906248,NULL,男,f2,0
u14,陈茵斓,6d43211659552cd5dfb50fd13547f25a,1368623279@qq.com,12521853088,NULL,女,f2,0
u15,孙?锦,f228c268320f4509c89dc56b91fc3d70,2055165518@qq.com,13711524800,NULL,男,f1,0
u16,卢靠清,8429b0714870f38c53515db59cc97d73,1515843203@qq.com,15411839464,NULL,男,f1,0
u17,孙仁露,74a7ed4b186770fb6d0ce8db28c7cb8a,811499572@qq.com,12018428088,NULL,女,f1,0
u18,路园芸,a957e144ecdc080dd3cedd331ed3c84c,6337145@qq.com,15205341304,NULL,男,f5,0
u19,符毓好,c3938740b9bfb73459fe31552ac40a7f,31564017@qq.com,10714186416,NULL,男,f1,0
u2,白飞解,5e76de508b4f710dc23e1b7e5d465aa6,473948063@qq.com,17059177528,NULL,女,f3,0
u20,白西清,cbbe218aa8dd1cad19286e20e0a3ebc1,88199763@qq.com,15039250528,NULL,女,f3,0
u21,田研青,113e14d933ed3d4b9d356d3354c073b8,27912064@qq.com,16250029512,NULL,男,f3,0
u22,詹生雨,8f6015a2762b4b3ad2e953f7cbf41642,5422114@qq.com,16141020528,NULL,男,f1,0
u23,周小蓉,b8a256f318c8f4b0d4f8da5c1f04147d,33545966@qq.com,13447158616,NULL,女,f1,0
u24,李昇珂,60455c3f0bfa354d0707d757f95f777e,29341883@qq.com,14718335720,NULL,男,f5,0
u25,龙秀青,c3c72ed580e6a3d27d11323702a7973a,63654505@qq.com,15146065256,NULL,男,f2,0
u26,岑醇燕,df948de3842fddaa974099aa56096d31,70799787@qq.com,12502022280,NULL,女,f4,0
u27,张懂霞,475069503872ed03a5d9609ec34d1414,69466156@qq.com,12353851984,NULL,男,f1,0
